ID,Title,Studio,Status,Sound,Versions,RecRetPrice,Rating,Year,Genre,Aspect,Rank
1,10,Warner Brothers,Out,1,"4:3, LBX, 16:9",19.98,R,1979,Comedy,2.35:1,890
2,12 Monkeys (DTS),Universal,Out,DTS,"LBX, 16:9",34.98,R,1995,SciFi,1.85:1,1995
3,12 Monkeys: Collector's Edition,Universal,Cancelled,5.1,"LBX, 16:9",29.98,R,1995,Drama,1.85:1,432
4,187: Special Edition,Warner Brothers,Out,5.1,"LBX, 16:9",24.98,R,1997,Mystery/Suspense,1.85:1,815
5,1941: Collector's Edition,Universal,Out,5.1,LBX,34.98,NR,1979,Comedy,2.35:1,1162
6,200 Cigarettes,Paramount,Out,5.1,"LBX, 16:9",29.99,R,1999,Comedy,1.85:1,1282
7,2001: A Space Odyssey (Original Release),MGM/UA,Discontinued,5.1,LBX,24.98,NR,1968,SciFi,2.20:1,1285
8,2001: A Space Odyssey (Repackaged Version),Warner Brothers,Discontinued,5.1,LBX,24.98,G,1968,SciFi,2.20:1,2263
9,2010: The year We Made Contact,MGM/UA,Discontinued,5.1,LBX,24.98,PG,1984,SciFi,2.35:1,1825
10,3 Days Of The Condor,Paramount,Out,5.1,"LBX, 16:9",29.99,R,1975,Mystery/Suspense,2.35:1,1881
11,48 HRS.,Paramount,Out,5.1,LBX,29.99,R,1983,Action/Adventure,1.85:1,469
12,8 Seconds,New Line,Out,5.1,"4:3, LBX, 16:9",24.98,PG-13,1994,Action/Adventure,1.85:1,885
13,9 1/2 Weeks,MGM/UA,Discontinued,SUR,LBX,24.98,NR,1986,Drama,1.66:1,899
14,Above The Law,Warner Brothers,Out,5.1,"4:3, LBX, 16:9",19.98,R,1988,Action/Adventure,1.85:1,1467
15,Absolute Power,Warner Brothers,Out,5.1,"4:3, LBX, 16:9",24.99,R,1997,Action/Adventure,2.35:1,1642
16,Ace Ventura: Pet Detective,Warner Brothers,Out,5.1,4:03,35.9,PG-13,1994,Comedy,1.33:1,2159
